cidade,latitude,longitude
PRESIDENTE EPITÁCIO,-21.765074,-52.11114
SANTA ROSA DO PURUS,-9.4354872,-70.4926109
TRÊS PONTAS,-21.3686224,-45.5122937
GOIANÁ,-21.5375,-43.2014
NOVA MUTUM,-13.8255015,-56.0849262
PLANURA,-20.1368583,-48.7066819
TRINDADE,-16.6549924,-49.4876203
ITABERAÍ,-16.0205509,-49.8060341
MORRO AGUDO,-20.7276692,-48.052795
LENÇÓIS,-12.5634288,-41.3901717
PIRACANJUBA,-17.3020379,-49.0170101
SANTO ÂNGELO,-28.3000481,-54.2669971
ALMEIRIM,-1.5290377,-52.5788111
ARAGUAIANA,-15.729144,-51.834112
BARRA DO BUGRES,-15.0683712,-57.1853688
CONQUISTA,-14.8567487,-40.8414804
IGARATÁ,-23.2063475,-46.156934
DIAMANTINA,-18.2440862,-43.6006487
ARARAS,-22.3569477,-47.3838889
FORMIGA,-20.4648425,-45.4266753
MIRASSOL D'OESTE,-15.675947,-58.0951397
PARANAIGUARA,-18.9137048,-50.6536307
SÃO LOURENÇO DO SUL,-31.3669286,-51.9814839
CONCEIÇÃO DAS ALAGOAS,-19.9194009,-48.3803414
VARGINHA,-21.5565914,-45.4340674
MANDAGUAÇU,-23.3485076,-52.0966215
ALEGRETE,-29.790166,-55.794862
FORTALEZA DOS VALOS,-28.7959241,-53.2246622
BARREIRAS,-12.1440031,-44.9967406
MOSSÂMEDES,-16.1263751,-50.2104393
VIAMÃO,-30.0819338,-51.0261927
SERRA AZUL,-21.3132591,-47.5635821
FRUTAL,-20.0220064,-48.9280076
NOVA LIMA,-19.9854089,-43.8470691
BARREIROS,-8.8159644,-35.1831905
RIO PARANAÍBA,-19.1965275,-46.2411395
CONCÓRDIA,-27.2312011,-52.0231024
MUITOS CAPÕES,-28.3162856,-51.1836226
GUARÁ,-20.4290496,-47.8250067
VICENTINA,-22.4093447,-54.4370921
MATO RICO,-24.7045571,-52.1493001
NOVA MARINGÁ,-13.0314433,-57.0922657
GOIATUBA,-18.0154577,-49.3640591
MARITUBA,-1.3595306,-48.3361504
SANTANA DO LIVRAMENTO,-30.8894097,-55.5317694
RIO LARGO,-9.477829,-35.839435
PERDIZES,-19.3503361,-47.2938235
SANT'ANA DO LIVRAMENTO,-30.8894097,-55.5317694
BOM JESUS,-28.6692723,-50.4346894
QUATRO BARRAS,-25.3708987,-49.0745672
CATANDUVA,-21.1331035,-48.9712817
TRÊS MARIAS,-18.2051533,-45.2484314
IPIXUNA DO PARÁ,-2.5592139,-47.4965462
BOM RETIRO,-27.798993,-49.486994
SÃO FRANCISCO DO SUL,-28.071016999999998,-54.77636531734161
SÃO MIGUEL DO IGUAÇU,-25.349171,-54.240498
ANANINDEUA,-1.374035,-48.4016623
TAPES,-30.6747721,-51.3986199
CAUCAIA,-3.7300563,-38.6593082
IGARATINGA,-19.955278,-44.7089254
TABATINGA,-21.7373768,-48.6880522
CARAZINHO,-28.2981634,-52.7942363
FEIJÓ,-8.1648652,-70.3539579
ROSANA,-22.5788641,-53.0552246
SANTO ANTÔNIO DA PLATINA,-23.2957157,-50.0778957
CRUZ,-2.918128,-40.175981
NOVA ANDRADINA,-22.2477565,-53.3480621
PIRAJUÍ,-21.9957877,-49.4549675
SANTA TEREZINHA,-26.7813,-50.009017
CAMAPUÃ,-19.5291747,-54.0434641
REGENTE FEIJÓ,-22.2191056,-51.3034558
ARAPIRACA,-9.754866,-36.661471
COLOMBO,-25.2925439,-49.2243472
BRUSQUE,-27.0964628,-48.9136323
FORMOSA,-15.5492443,-47.3301212
CRIXÁS,-14.5424536,-49.9694813
BALNEÁRIO CAMBORIÚ,-26.9924395,-48.6339782
JUTI,-22.8611994,-54.604793
ANAPU,-3.4668292,-51.2057035
TAPIRATIBA,-21.46824,-46.7493221
RIACHO DAS ALMAS,-8.1356327,-35.8566421
CACOAL,-11.4333,-61.4420502
GUARATINGUETÁ,-22.8057839,-45.1908926
NOBRES,-14.7196233,-56.3351314
PICOS,-7.0823544,-41.4685053
SÃO JOÃO DO CAIUÁ,-22.8544849,-52.3371114
SANTA CRUZ DO SUL,-29.7141869,-52.4285914
GURUPI,-11.72794,-49.068046
SÃO JOÃO DEL REI,-21.1335755,-44.2588086
GUABIRUBA,-27.0864326,-48.9781319
GUARAMIRIM,-26.4744805,-48.9981151
IBIÚNA,-23.6544825,-47.220856
PATROCÍNIO,-18.9408294,-46.9926624
ÁLVARES MACHADO,-22.076415,-51.47224
ALTA FLORESTA D'OESTE,-11.9296917,-61.9961284
SAPEZAL,-13.547958,-58.8146235
CURRALINHO,-1.8137876,-49.7980165
RESERVA,-24.6545336,-50.8484432
GUARAPUAVA,-25.3950986,-51.4622016
CAMARAGIBE,-8.0213832,-34.9810768
QUADRA,-23.299332,-48.054657
CAMPO MAGRO,-25.3691533,-49.4496921
IBIRAMA,-27.0537021,-49.5190771
MATÃO,-21.6033611,-48.3660603
TIETÊ,-23.1030302,-47.7147937
TIJUCAS,-27.239404,-48.6353696
PACAJÁ,-3.8354195,-50.6399248
MACATUBA,-22.50022,-48.710229
IRAUÇUBA,-3.7466828,-39.7840904
SÃO BENEDITO,-4.0479885,-40.8643005
ILHOTA,-26.9022824,-48.8284968
BREVES,-1.68036,-50.479085
CAÇU,-18.5637222,-51.1369685
PONTES E LACERDA,-15.2315171,-59.3349512
SÃO JOAQUIM DA BARRA,-20.5814993,-47.8608238
BIRIGUI,-21.2908491,-50.34144
JAGUARÉ,-18.9058375,-40.0710964
ITAPERUNA,-21.206179900000002,-41.867283935493454
COLÍDER,-10.8094999,-55.4540386
MATÕES DO NORTE,-3.6268881,-44.5547543
TAMBAÚ,-21.70292,-47.270344
TOLEDO,-22.7433969,-46.3735044
BREJINHO DE NAZARÉ,-11.0138265,-48.564626
SANTA RITA DO TRIVELATO,-13.8139517,-55.2721092
GUARANTÃ DO NORTE,-9.9517992,-54.9098178
GOIANÉSIA DO PARÁ,-3.8380998,-49.0977992
ITAÍ,-23.4172598,-49.0935788
SÃO VICENTE,-23.9664177,-46.3861401
IBIRUBÁ,-28.630161,-53.096124
ALTO PARNAÍBA,-9.112506,-45.9310154
IGUARAÇU,-23.1972911,-51.8244524
ITÁPOLIS,-21.5958368,-48.8122696
VILA RICA,-20.385527,-43.5035214
TABOÃO DA SERRA,-23.6121912,-46.7790539
ARAGUAÍNA,-7.193241,-48.2018597
MANTENA,-18.7809937,-40.9808279
CAARAPÓ,-22.6349267,-54.8240903
IVATÉ,-23.4084656,-53.3698352
ROSÁRIO OESTE,-14.825938,-56.42357
COLNIZA,-9.4560637,-59.2197132
PARACATU,-17.2174056,-46.8707514
TEÓFILO OTONI,-17.8579267,-41.5081533
JACAREZINHO,-23.1590428,-49.9739664
SÃO MATEUS,-18.7146049,-39.8539499
ITARIRI,-24.2900711,-47.176151
COROMANDEL,-18.473889,-47.200278
